"","CBJMC00700","CBJMC01400","CBJMC02800","CBJMC04200","CBJMC04201","CBJMC04202","CBJMC04203","CHCFC00700","CHCFC01400","CHCFC02800","CHCFC04200","CHCFC05601","CHCFC05602","CHCFC05603","DGYFC06201","DGYFC06202","DGYFC06203","DGYMC06201","DGYMC06202","DGYMC06203","DHCFC07801","DHCFC07802","DHCFC07803","DHCMC07801","DHCMC07802","DHCMC07803","DHKFC23501","DHKFC23502","DHKFC23503","DSLFC04101","DSLFC04102","DSLFC04103","DSLMC04101","DSLMC04102","DSLMC04103","DSTFC04001","DSTFC04002","DSTFC04003","DSTMC04001","DSTMC04002","DSTMC04003","HBJMC00700","HBJMC01400","HBJMC02800","HBJMC04200","HBJMC04201","HBJMC04202","HBJMC04203","HHCFC00700","HHCFC01400","HHCFC02800","HHCFC04200","HHCFC05601","HHCFC05602","HHCFC05603","LBJMC00700","LBJMC01400","LBJMC02800","LBJMC04200","LBJMC04201","LBJMC04202","LBJMC04203","LHCFC00700","LHCFC01400","LHCFC02800","LHCFC04200","LHCFC05601","LHCFC05602","LHCFC05603","MBJMC00700","MBJMC01400","MBJMC02800","MBJMC04200","MBJMC04201","MBJMC04202","MBJMC04203","MHCFC00700","MHCFC01400","MHCFC02800","MHCFC04200","MHCFC05601","MHCFC05602","MHCFC05603","NBJMC00100","NBJMC00700","NBJMC01400","NBJMC02800","NBJMC04200","NBJMC04201","NBJMC04202","NBJMC04203","NHCFC00100","NHCFC00700","NHCFC01400","NHCFC02800","NHCFC04200","NHCFC05601","NHCFC05602","NHCFC05603"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accumulibacter",0,0,0,0,0,0,0,0,0,9.208217e-08,8.707902e-08,0,0,0,0,0,0,0,0,0,0,0,1.246194e-07,0,0,0,3.082727e-07,7.779568e-07,2.091964e-07,0,0,0,0,0,0,0,0,0,0,4.358689e-08,0,0,0,0,0,0,0,0,0,0,2.276977e-07,5.256669e-07,0,0,0,0,0,0,0,0,0,0,0,6.516476e-08,0,0,0,8.665978e-08,7.647817e-07,0,0,0,0,0,0,0,0,0,1.79711e-07,5.04896e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88778e-08,9.874884e-09,0,1.756793e-07,7.783876e-08,0
"Acetivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.858392e-07,0,0,0,1.586959e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.316831e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter",0,0,2.654417e-05,2.94605e-05,1.343015e-05,2.404563e-05,8.796789e-06,0,0,5.80551e-07,5.419266e-06,1.326702e-06,9.999804e-06,4.801374e-06,2.202634e-07,5.639246e-07,4.381285e-08,8.452629e-07,1.759225e-07,0,1.052775e-06,3.17671e-07,3.801475e-07,9.941944e-08,1.368669e-07,0,3.407166e-07,1.56925e-07,2.386097e-07,4.737305e-07,8.299378e-07,5.111467e-06,4.254778e-07,3.966868e-07,4.57515e-07,0,0,2.666285e-08,0,0,1.785254e-07,0,1.037706e-06,4.02564e-05,2.356643e-05,2.070701e-05,3.924419e-07,1.804471e-05,0,0,1.369647e-06,2.52536e-05,5.631678e-06,4.237947e-06,1.309861e-05,0,0,2.194086e-05,1.719568e-05,3.308884e-05,5.398339e-06,2.146524e-05,1.276774e-07,0,3.596383e-07,3.155779e-05,1.5942e-05,2.443092e-05,1.961756e-05,0,1.975606e-07,6.089817e-05,2.291684e-06,1.064212e-06,1.2567e-05,3.016688e-05,0,8.312983e-08,2.73528e-07,6.044219e-05,8.442129e-06,4.058684e-06,1.568642e-05,8.828287e-08,0,5.763147e-07,1.641284e-05,2.337035e-05,9.279919e-05,7.952894e-06,2.693683e-06,3.662679e-08,0,8.008484e-08,1.494435e-05,1.047116e-05,2.542806e-06,1.455451e-06,1.985406e-06
"Acetobacterium",8.413064e-07,6.35911e-07,1.307424e-06,7.809504e-07,1.894143e-06,1.523029e-06,1.381738e-06,6.346423e-07,4.063526e-07,8.031335e-07,2.12399e-06,5.282766e-06,9.383939e-07,2.521295e-06,2.328315e-06,3.202694e-06,4.890766e-07,2.411556e-07,2.543885e-06,3.468766e-07,4.034576e-06,4.492384e-06,1.098281e-06,4.055885e-06,1.400304e-06,2.128271e-06,2.769762e-06,1.124278e-06,2.325493e-06,9.937103e-07,1.641879e-06,1.536102e-06,6.564658e-07,8.646364e-07,1.279591e-06,6.244304e-07,2.398051e-06,3.047798e-06,8.303516e-07,1.278715e-06,1.146982e-06,7.242641e-08,5.311325e-06,2.940767e-06,6.308169e-07,1.850282e-06,1.450348e-06,3.003879e-06,2.012219e-07,6.685904e-07,7.414224e-07,8.485251e-07,1.555681e-06,2.512847e-06,9.945726e-07,0,2.28538e-06,1.445697e-06,2.523707e-06,2.231971e-06,2.903871e-06,9.961762e-07,3.900505e-07,9.185556e-07,5.304012e-07,1.925381e-06,1.951613e-06,2.425973e-06,1.247794e-06,2.187891e-06,1.600432e-06,1.677357e-06,1.42755e-06,3.44591e-07,2.258802e-07,1.560391e-06,2.085019e-06,1.942904e-07,7.90332e-07,2.08221e-06,4.454519e-06,2.943264e-06,1.849516e-06,0,9.848048e-07,8.803865e-07,4.69159e-06,1.659327e-06,6.435008e-07,7.935067e-07,1.465499e-06,2.705898e-07,4.503711e-07,2.090824e-07,6.34587e-07,1.475292e-06,1.313426e-06,1.692862e-06,1.69649e-06
"Acetomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.510901e-08,0,5.914386e-08,1.894134e-07,1.320215e-07,3.080493e-07,0,0,8.624777e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholeplasma",1.91198e-07,7.303075e-06,3.393612e-07,1.415272e-06,6.286253e-07,7.916188e-07,1.761233e-06,1.457652e-06,0,4.900392e-07,4.124672e-07,3.445492e-07,1.997427e-07,1.431946e-07,0.0002689646,3.726548e-06,2.042729e-06,1.499621e-05,0,1.072045e-06,6.636868e-06,5.961256e-06,1.188078e-06,3.1417e-06,8.425468e-07,2.035673e-06,3.320704e-06,2.392364e-06,1.149162e-06,1.447967e-05,1.834047e-06,5.66839e-07,1.883083e-06,2.754749e-06,1.377492e-06,8.534373e-07,2.022697e-06,1.903898e-06,1.15721e-05,3.668201e-07,2.399357e-06,2.301614e-07,4.585073e-07,6.308096e-08,3.977375e-07,7.264014e-07,8.820348e-07,4.130165e-07,0,2.53305e-07,2.33378e-07,1.782197e-07,1.88219e-07,5.727108e-07,1.128664e-06,1.338874e-07,0,4.434144e-06,3.306049e-07,2.389275e-06,4.827e-07,1.183746e-07,2.344852e-06,1.562292e-07,2.252028e-08,2.594352e-07,1.124551e-06,8.798707e-07,1.205597e-06,1.315856e-05,2.071554e-06,4.273009e-07,6.1169e-07,2.322061e-06,3.010668e-06,2.938307e-07,1.072873e-07,5.436879e-07,9.390437e-07,8.550726e-07,6.621978e-07,1.292029e-06,3.827217e-07,1.291093e-07,4.957829e-07,1.762066e-07,4.182999e-07,1.380323e-06,7.198414e-06,1.209292e-05,3.133459e-07,2.804927e-06,1.259491e-06,4.357439e-07,1.722041e-07,5.584137e-07,3.597247e-07,1.109341e-07,1.126944e-07
"Achromobacter",0,6.537454e-08,1.217065e-06,3.617425e-07,3.249059e-07,7.428961e-07,3.223492e-06,1.882215e-05,6.228876e-06,1.171795e-07,2.293498e-07,0,0,7.111296e-07,3.691965e-08,1.742138e-06,8.401226e-08,4.292477e-08,0,0,1.821965e-07,2.090734e-07,0,5.552281e-08,6.179443e-08,3.130408e-07,2.100253e-07,6.992674e-07,2.502234e-06,4.695145e-08,4.992389e-08,3.597386e-08,2.349779e-07,0,3.593557e-08,5.051966e-06,0,2.098319e-07,5.826959e-07,5.029256e-08,1.132278e-07,0,0,2.053383e-07,3.707547e-07,0,4.737904e-06,1.280716e-07,3.66404e-07,8.987276e-06,0,0,1.788549e-07,0,0,0,0,4.94289e-07,9.490989e-07,2.918448e-07,3.606351e-07,1.095569e-07,1.252098e-06,1.05054e-05,8.495086e-07,6.916291e-08,1.236545e-07,1.856995e-07,6.069696e-08,0,0,1.280411e-06,8.607136e-07,5.967068e-08,4.838506e-07,3.53847e-07,5.641634e-06,1.507029e-05,2.948569e-07,1.409366e-07,0,0,0,0,0,0,6.691359e-07,5.746159e-07,0,1.318833e-05,0,6.596467e-07,9.053062e-06,1.420965e-06,0,1.910726e-07,0,1.717764e-07,1.598419e-07
"Acidaminococcus",1.243276e-05,1.442264e-06,6.989953e-06,9.841202e-06,9.131593e-06,1.351498e-05,8.07991e-06,9.355088e-06,3.261228e-06,6.789275e-06,1.00707e-05,7.186816e-06,1.420677e-05,1.371553e-05,1.902552e-06,9.423314e-06,1.995994e-06,1.320688e-06,3.381029e-07,2.966947e-06,2.762556e-05,1.025469e-05,2.29493e-06,1.92413e-05,1.093375e-05,2.123951e-05,3.157843e-05,1.999948e-05,1.182503e-05,6.786429e-06,4.82229e-06,8.455015e-06,7.683933e-06,4.253651e-06,5.668603e-06,5.809465e-06,3.922474e-06,1.701113e-05,1.115296e-05,3.151336e-06,1.90359e-05,3.342408e-06,4.488879e-06,3.356444e-06,1.288025e-05,9.166782e-06,1.849051e-05,6.155689e-06,1.496894e-07,2.143244e-06,3.584211e-06,5.494664e-06,7.709928e-06,4.462632e-06,2.910535e-06,4.761076e-06,1.195632e-05,4.62434e-06,6.281409e-06,5.967237e-06,1.189983e-05,1.886221e-05,5.779736e-06,2.049579e-06,4.017952e-06,6.330462e-06,8.701947e-06,9.053374e-06,6.855679e-06,1.432746e-06,3.266556e-06,5.629373e-06,1.173986e-05,1.206626e-05,8.946844e-06,3.179556e-06,2.90625e-06,2.41882e-06,2.617948e-06,5.39501e-06,1.577686e-05,1.693758e-05,8.847341e-06,6.481084e-08,6.810818e-06,1.026415e-06,4.859671e-06,7.982192e-06,1.230487e-05,9.883294e-06,6.392772e-06,2.260575e-07,6.097363e-06,2.372543e-06,4.544735e-06,6.948205e-06,1.329792e-05,1.110059e-05,6.694232e-06
"Acidiphilium",0,1.227912e-06,5.151502e-07,6.086351e-07,2.182057e-06,7.933074e-07,1.874686e-06,1.253364e-06,1.28292e-07,3.512431e-07,2.089897e-07,7.337422e-07,1.013828e-07,6.748837e-07,3.085046e-06,8.991959e-07,1.125329e-06,1.861553e-06,1.215977e-06,1.408726e-06,4.219636e-07,6.830712e-07,2.243149e-07,7.032991e-07,5.377175e-07,9.716785e-07,7.56729e-07,5.702604e-07,3.296935e-07,7.516415e-07,3.420921e-07,5.316675e-07,1.202518e-06,8.761334e-07,1.70858e-06,1.05671e-06,1.804124e-06,7.466825e-07,9.479529e-07,2.669598e-06,1.836095e-06,1.164617e-07,3.980582e-07,7.882626e-07,5.575992e-07,1.194428e-06,5.693976e-07,5.963015e-07,0,5.4063e-07,1.3075e-06,3.154002e-07,3.556855e-07,1.957181e-07,1.38557e-06,2.461402e-07,3.216129e-07,1.10079e-06,1.20132e-06,1.054825e-06,1.22159e-06,9.216522e-07,2.873935e-07,5.074325e-07,6.378991e-07,6.634923e-07,1.015953e-07,3.037032e-07,1.118783e-06,4.367016e-07,4.204089e-07,3.974395e-07,1.375532e-06,8.760741e-07,2.212986e-07,3.388889e-07,8.9263e-08,3.609407e-07,5.869367e-07,4.547925e-07,1.05582e-06,1.059705e-06,5.35389e-08,0,1.708393e-07,1.226398e-07,1.749045e-06,1.242408e-06,4.986711e-07,7.591972e-07,1.34165e-06,0,3.726202e-07,6.676547e-07,1.587307e-06,3.549939e-07,2.108151e-07,2.064496e-07,8.964449e-07
