"","CBJMD00700","CBJMD01400","CBJMD02800","CBJMD04200","CBJMD04201","CBJMD04202","CBJMD04203","CHCFD00700","CHCFD01400","CHCFD02800","CHCFD04200","CHCFD05601","CHCFD05602","CHCFD05603","DGYFD06201","DGYFD06202","DGYFD06203","DGYMD06201","DGYMD06202","DGYMD06203","DHCFD07801","DHCFD07802","DHCFD07803","DHCMD07801","DHCMD07802","DHCMD07803","DHKFD23501","DHKFD23502","DHKFD23503","DSLFD04101","DSLFD04102","DSLFD04103","DSLMD04101","DSLMD04102","DSLMD04103","DSTFD04001","DSTFD04002","DSTFD04003","DSTMD04001","DSTMD04002","DSTMD04003","HBJMD00700","HBJMD01400","HBJMD02800","HBJMD04200","HBJMD04201","HBJMD04202","HBJMD04203","HHCFD00700","HHCFD01400","HHCFD02800","HHCFD04200","HHCFD05601","HHCFD05602","HHCFD05603","LBJMD00700","LBJMD01400","LBJMD02800","LBJMD04200","LBJMD04201","LBJMD04202","LBJMD04203","LHCFD00700","LHCFD01400","LHCFD02800","LHCFD04200","LHCFD05601","LHCFD05602","LHCFD05603","MBJMD00700","MBJMD01400","MBJMD02800","MBJMD04200","MBJMD04201","MBJMD04202","MBJMD04203","MHCFD00700","MHCFD01400","MHCFD02800","MHCFD04200","MHCFD05601","MHCFD05602","MHCFD05603","NBJMD00100","NBJMD00700","NBJMD01400","NBJMD02800","NBJMD04200","NBJMD04201","NBJMD04202","NBJMD04203","NHCFD00100","NHCFD00700","NHCFD01400","NHCFD02800","NHCFD04200","NHCFD05601","NHCFD05602","NHCFD05603"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.052298e-07,0,3.904792e-07,4.11807e-07,2.121315e-07,0,2.059237e-07,0,1.917278e-07,8.267666e-08,6.717129e-07,4.894094e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accumulibacter",0,0,5.427719e-06,6.400806e-07,0,0,0,7.72894e-07,2.943286e-06,4.514662e-06,1.386821e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.424401e-08,0,0,0,0,0,0,0,0,7.563605e-08,0,0,0,0,0,1.969939e-07,0,0,0,0,7.933019e-08,2.400348e-06,2.21495e-06,2.590893e-06,0,0,0,0,0,0,2.607454e-07,0,0,0,4.129537e-06,7.33947e-07,6.929264e-06,1.774504e-06,0,1.946742e-08,0,0,0,0,4.449378e-07,0,2.242599e-08,3.770619e-07,6.174376e-07,4.964729e-07,2.462454e-06,2.317429e-06,0,0,0,2.005345e-06,0,0,0,1.482822e-06,0,0,0,0,0,1.887538e-06,2.493874e-06,1.387693e-06,0,0,0
"Acetivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter",0,8.070679e-06,0,9.264124e-07,1.824108e-07,7.726518e-07,0,0,4.967022e-07,1.35002e-05,1.575548e-06,2.325355e-07,4.847693e-07,1.106146e-06,5.890236e-06,1.644083e-05,2.772643e-06,5.886545e-07,8.290807e-06,2.009225e-07,8.334753e-06,0,1.342094e-06,3.896666e-08,7.378508e-06,6.068609e-06,0,0,2.452685e-06,1.099887e-06,0,0,0,7.090811e-07,0,2.691666e-07,3.686376e-08,3.235967e-07,0,0,0,0,0,1.70071e-07,1.50494e-06,4.709194e-07,1.969743e-07,0,2.276141e-07,8.675567e-07,2.417481e-06,7.945587e-07,0,7.252008e-08,8.488133e-08,0,4.830044e-06,4.570756e-07,1.031587e-07,5.732021e-06,5.920297e-08,0,2.463632e-07,3.325389e-07,1.388547e-06,6.51152e-06,3.82753e-07,2.564923e-07,9.962533e-08,0,0,6.868271e-07,3.379633e-07,1.561464e-07,1.16996e-07,1.10567e-06,9.598128e-08,4.686385e-07,1.118414e-05,1.394237e-06,4.762689e-07,6.821238e-07,4.421958e-07,0,0,0,0,2.306949e-06,0,0,2.986692e-05,0,0,5.733933e-07,0,4.371251e-07,0,1.823397e-06,0
"Acetobacterium",0,0,0,1.451249e-07,0,0,0,0,5.324761e-07,2.031916e-07,8.291479e-08,0,0,0,0,2.416559e-07,3.216716e-06,1.261096e-07,9.294659e-07,0,0,0,2.023134e-07,0,3.399733e-07,0,0,0,6.229942e-07,0,0,0,0,5.255856e-07,0,1.695023e-07,0,4.929514e-08,1.093153e-07,0,0,0,0,1.951137e-07,0,0,0,0,0,0,2.214909e-07,0,0,8.019867e-08,0,0,0,4.904331e-07,0,0,0,0,0,2.493478e-07,1.190502e-07,2.03268e-06,0,0,7.281926e-08,0,0,9.243436e-08,0,0,0,0,7.927343e-08,1.352835e-07,2.271654e-07,0,0,0,2.684166e-07,0,0,0,0,4.382182e-07,0,0,8.108141e-07,0,0,0,0,8.414068e-08,0,0,7.897724e-07
"Acetomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholeplasma",0,0,0,0,0,0,0,0,0,1.121057e-07,0,0,0,0,2.60992e-07,2.649035e-07,1.321364e-06,0,0,9.611865e-08,1.106308e-07,0,0,3.188278e-07,0,7.131439e-06,0,0,7.999116e-08,5.65792e-08,0,0,0,4.537361e-08,0,2.058435e-07,0,0,1.226619e-07,1.719379e-07,0,0,0,1.892725e-07,1.56684e-07,0,0,0,0,9.529227e-08,0,0,0,8.418571e-08,0,0,0,8.90836e-06,0,0,0,0,0,4.083201e-07,7.495758e-08,3.883444e-07,0,0,0,0,0,2.644589e-07,0,0,0,0,0,6.575947e-07,5.827804e-08,0,0,0,6.4956e-08,0,0,0,1.457913e-06,3.456291e-07,0,0,1.802392e-06,0,1.529471e-06,0,0,0,0,4.385905e-08,1.836744e-07
"Achromobacter",8.656268e-07,2.605092e-06,0,2.997371e-06,0,9.247826e-06,0,1.309643e-05,2.158774e-05,4.5666e-06,0,0,4.048039e-07,0,0,4.719857e-08,1.534979e-06,1.004339e-07,2.098938e-07,2.761771e-07,0,0,0,0,0,0,5.453919e-08,0,8.199535e-07,0,4.690361e-08,0,0,0,1.268243e-06,1.998532e-07,0,4.815821e-07,1.134156e-06,2.161473e-06,0,0,0,3.629349e-07,4.95111e-06,0,7.45357e-07,0,2.24102e-06,5.884474e-06,1.722481e-06,5.769308e-07,0,5.049546e-08,9.196956e-08,0,0,2.9878e-07,3.49189e-07,2.418574e-06,6.158157e-07,1.537633e-06,1.523911e-05,1.209402e-05,3.239048e-07,9.618346e-08,3.206146e-07,4.381548e-07,3.195445e-08,2.036846e-06,4.570222e-06,1.447343e-06,7.445619e-08,3.257503e-07,0,1.031208e-05,1.811259e-06,8.845752e-06,5.212787e-07,3.934e-07,1.298547e-07,4.249206e-08,8.398157e-08,0,3.164054e-06,0,6.061221e-06,1.895632e-06,6.915795e-06,1.009859e-05,1.016372e-05,8.225893e-07,8.49075e-06,1.374021e-06,7.107242e-06,1.239505e-06,2.258055e-07,5.788654e-07,7.103775e-07
"Acidaminococcus",9.95891e-07,0,0,7.248401e-07,0,3.741012e-07,0,5.830891e-07,6.229474e-07,7.929427e-07,5.723551e-07,2.006648e-07,4.461538e-08,4.618286e-07,0,2.064516e-07,5.55927e-06,0,0,1.498327e-07,0,0,2.756324e-07,1.184587e-07,3.732803e-08,5.015379e-08,0,1.231266e-07,1.000814e-06,2.032194e-06,0,0,0,8.861565e-07,5.318951e-08,3.360065e-07,0,2.836458e-07,2.888682e-07,1.418993e-06,0,0,0,3.594781e-07,1.342106e-07,0,0,0,2.183051e-06,3.074444e-07,1.653182e-06,2.837045e-07,0,0,6.601881e-08,0,0,3.955938e-06,1.065744e-07,0,0,0,0,2.047528e-06,7.968513e-07,3.763226e-06,4.977915e-08,4.629447e-08,4.617807e-08,0,0,2.632085e-07,1.761524e-07,0,0,2.228093e-06,3.977183e-07,1.941941e-06,2.087734e-06,3.264932e-07,0,8.066479e-07,8.730697e-07,3.42833e-06,3.640199e-06,0,1.871284e-06,1.035414e-06,0,0,7.890538e-05,0,0,5.31421e-07,8.361333e-07,0,0,1.045664e-07,0
"Acidiphilium",0,0,0,0,0,1.875006e-07,0,0,0,1.040341e-07,6.138282e-08,0,0,1.17514e-07,3.084342e-07,7.8916e-08,0,8.476625e-08,0,0,0,0,0,0,2.515401e-07,2.256921e-07,0,0,0,9.527937e-08,0,0,0,6.97083e-07,0,1.857569e-07,0,7.926658e-08,0,0,0,0,0,0,0,0,0,0,0,3.331418e-07,7.330902e-08,3.568063e-08,0,0,0,0,0,0,1.013178e-07,0,0,0,0,6.090225e-07,3.625316e-07,4.556075e-07,0,0,0,0,0,0,0,0,0,0,2.432253e-07,4.943409e-07,1.947788e-07,4.507746e-07,0,1.052644e-07,0,0,0,0,0,2.009995e-07,0,0,1.677845e-06,0,0,3.112281e-07,0,0,0,0,0
