"","CBJMI00700","CBJMI01400","CBJMI02800","CBJMI04200","CBJMI04201","CBJMI04202","CBJMI04203","CHCFI00700","CHCFI01400","CHCFI02800","CHCFI04200","CHCFI05601","CHCFI05602","CHCFI05603","DGYFI06201","DGYFI06202","DGYFI06203","DGYMI06201","DGYMI06202","DGYMI06203","DHCFI07801","DHCFI07802","DHCFI07803","DHCMI07801","DHCMI07802","DHCMI07803","DHKFI23501","DHKFI23502","DHKFI23503","DSLFI04101","DSLFI04102","DSLFI04103","DSLMI04101","DSLMI04102","DSLMI04103","DSTFI04001","DSTFI04002","DSTFI04003","DSTMI04001","DSTMI04002","DSTMI04003","HBJMI00700","HBJMI01400","HBJMI02800","HBJMI04200","HBJMI04201","HBJMI04202","HBJMI04203","HHCFI00700","HHCFI01400","HHCFI02800","HHCFI04200","HHCFI05601","HHCFI05602","HHCFI05603","LBJMI00700","LBJMI01400","LBJMI02800","LBJMI04200","LBJMI04201","LBJMI04202","LBJMI04203","LHCFI00700","LHCFI01400","LHCFI02800","LHCFI04200","LHCFI05601","LHCFI05602","LHCFI05603","MBJMI00700","MBJMI01400","MBJMI02800","MBJMI04200","MBJMI04201","MBJMI04202","MBJMI04203","MHCFI00700","MHCFI01400","MHCFI02800","MHCFI04200","MHCFI05601","MHCFI05602","MHCFI05603","NBJMI00100","NBJMI00700","NBJMI01400","NBJMI02800","NBJMI04200","NBJMI04201","NBJMI04202","NBJMI04203","NHCFI00100","NHCFI00700","NHCFI01400","NHCFI02800","NHCFI04200","NHCFI05601","NHCFI05602","NHCFI05603"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.155514e-08,0,5.845344e-07,0,9.032278e-08,0,0,0,0,0,2.542774e-08,2.979497e-06,0,2.388851e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accumulibacter",0,7.796312e-08,4.666436e-07,4.226531e-07,0,0,0,0,1.93746e-07,2.740057e-06,2.908727e-07,0,0,8.565713e-08,0,4.848816e-07,1.925737e-08,0,0,0,0,0,3.881018e-07,0,0,0,0,0,7.508918e-08,2.408013e-07,1.173452e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.091521e-07,6.365934e-08,0,0,0,2.784235e-06,1.990561e-07,9.504096e-07,4.691586e-08,0,0,0,0,0,1.752783e-07,8.674683e-07,0,0,0,1.34061e-07,7.7705e-07,4.281557e-07,1.980817e-07,0,0,0,6.01764e-07,0,0,2.569962e-07,1.011877e-07,0,0,0,0,6.331384e-07,5.428498e-07,0,0,0,0,0,0,0,3.247942e-07,0,0,0,0,0,0,1.115451e-06,3.275562e-07,0,0,0
"Acetivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter",0,6.906064e-07,1.35195e-06,2.264998e-07,1.363676e-07,0,1.388124e-07,0,2.128839e-08,1.039695e-06,2.238526e-06,3.63623e-07,1.008312e-06,1.804325e-06,2.313262e-06,4.271576e-06,1.152704e-06,4.860262e-06,3.088531e-06,5.379088e-07,5.242953e-06,6.491147e-06,7.512695e-06,0,2.650135e-06,8.45109e-06,3.775879e-07,2.030523e-07,2.780558e-08,4.013606e-07,7.54362e-08,2.073346e-06,4.929451e-08,9.742195e-07,0,7.923492e-08,0,2.99479e-08,0,0,2.510322e-07,2.314076e-06,2.802912e-07,2.481728e-06,3.410724e-07,2.772397e-07,0,6.77189e-07,4.025315e-07,2.121065e-07,4.233901e-07,1.063851e-06,2.910121e-07,1.537846e-07,1.712554e-07,5.48229e-06,1.290181e-06,3.502721e-06,2.171083e-07,0,3.998385e-07,1.958321e-06,1.528753e-07,3.228474e-07,1.576109e-07,9.033552e-07,1.634995e-06,2.361871e-05,1.2805e-07,2.36328e-07,0,1.469607e-07,7.910894e-07,2.246691e-06,1.580899e-06,2.040009e-07,0,0,2.2196e-07,1.915071e-05,1.081169e-07,3.848811e-05,5.075489e-06,0,1.54367e-06,2.629247e-06,5.437287e-06,1.314683e-06,3.949001e-07,2.908515e-06,1.854253e-06,0,0,2.691791e-07,4.716648e-07,8.786855e-07,7.536796e-07,1.286136e-07,2.493238e-07
"Acetobacterium",5.06817e-07,1.568345e-06,0,7.691253e-07,0,0,0,5.200761e-07,5.610514e-07,6.436547e-07,6.772561e-07,1.755699e-07,3.246083e-07,5.968932e-07,1.805524e-06,1.746943e-06,2.545939e-06,0,9.284121e-07,8.759075e-07,0,0,1.577891e-07,0,6.147221e-08,0,8.615046e-08,0,1.647978e-07,1.121678e-06,5.715962e-07,5.698544e-07,4.649766e-08,7.526679e-07,1.279856e-07,4.870059e-07,0,4.666401e-07,0,0,0,0,1.052522e-06,3.282433e-08,6.175907e-08,0,0,7.976214e-07,2.240925e-07,3.887376e-07,2.423001e-07,4.42617e-07,1.984852e-07,4.328751e-08,0,4.191953e-07,2.793793e-07,7.091222e-07,0,0,2.752982e-07,0,1.119903e-07,6.38388e-07,7.075855e-08,0,2.736054e-08,1.256593e-07,1.679653e-08,1.026323e-06,1.112393e-06,0,1.973348e-07,0,0,0,9.690389e-07,0,0,6.51285e-07,1.669094e-07,2.412974e-06,1.068734e-06,0,0,0,6.695149e-07,8.842695e-08,0,0,0,0,0,0,6.721525e-07,1.038493e-07,3.032747e-07,5.925401e-08,1.881437e-07
"Acetomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholeplasma",1.959043e-07,3.258098e-06,0,2.326255e-07,2.179984e-07,0,0,3.815028e-07,8.594362e-07,4.104275e-07,2.41135e-07,0,2.951104e-07,6.419006e-07,3.617103e-05,1.831255e-06,6.234067e-06,0,2.524011e-07,5.566114e-07,1.953896e-07,0,4.540438e-08,0,2.840754e-07,3.915349e-07,9.986387e-08,0,1.246583e-07,4.784801e-06,7.848624e-07,1.025385e-06,2.349372e-07,1.868132e-06,0,2.526624e-07,4.458955e-08,3.215619e-07,1.195109e-07,0,9.257999e-08,0,5.996532e-07,0,0,9.389676e-08,0,0,1.527392e-07,3.782629e-07,2.610482e-07,0,0,9.449636e-08,0,2.247575e-07,3.697967e-07,6.368884e-07,0,0,0,6.221528e-07,0,7.54655e-07,0,5.984984e-08,1.16075e-08,2.052726e-07,0,3.246506e-07,6.314265e-08,0,1.265568e-07,3.12101e-07,4.531639e-08,0,7.56012e-08,9.646318e-08,0,0,9.099187e-08,1.681134e-06,1.186332e-06,0,0,2.846262e-06,9.362369e-07,2.86649e-07,1.46796e-07,1.138973e-06,0,4.434684e-08,0,0,3.204768e-07,0,3.30597e-07,9.163293e-08,1.020625e-07
"Achromobacter",8.596643e-08,3.486792e-07,3.431497e-07,1.787973e-06,3.420189e-07,2.479846e-06,0,3.391033e-06,2.218571e-06,1.183106e-06,0,3.895798e-06,0,0,6.363422e-07,8.648477e-07,2.566408e-07,0,7.20708e-08,6.543623e-07,0,0,1.167885e-07,0,6.147221e-08,0,1.351379e-07,0,1.216887e-07,4.148234e-08,0,1.336122e-07,7.185826e-07,2.053062e-07,4.712009e-07,0,2.994865e-08,3.857055e-07,1.991848e-07,1.035745e-07,0,0,1.081762e-06,1.359149e-07,0,4.195977e-08,1.202901e-06,8.178483e-07,2.297827e-05,6.674335e-06,2.762584e-07,0,3.840802e-08,0,0,4.230887e-07,3.566611e-07,4.50777e-07,9.708262e-07,4.351888e-08,5.039969e-07,1.6545e-06,6.64464e-06,1.077953e-05,0,0,0,1.773368e-07,8.407153e-08,0,0,1.01732e-06,8.055189e-07,1.827974e-06,2.750453e-07,0,4.252614e-06,5.232826e-07,1.615217e-07,1.713924e-07,0,0,0,0,0,0,2.948753e-07,1.425376e-06,2.533641e-05,2.031659e-06,6.315995e-06,1.462425e-06,3.434899e-06,7.812273e-07,4.166768e-08,0,5.422285e-08,4.54573e-06,0
"Acidaminococcus",1.110764e-05,3.553554e-06,3.661659e-07,5.492757e-06,0,0,7.99725e-08,3.692799e-06,6.510162e-06,4.573487e-06,3.308904e-06,1.762918e-06,4.055483e-06,6.463999e-06,7.625791e-06,5.355864e-06,3.180122e-06,1.09673e-07,2.941832e-06,6.020878e-06,0,0,2.898271e-07,0,5.330074e-07,0,4.949383e-07,8.914493e-08,1.274253e-06,3.262886e-06,2.016193e-06,2.618143e-06,6.110832e-07,3.562025e-06,2.297983e-08,6.929987e-06,1.097464e-07,2.084529e-06,4.790521e-08,0,1.026683e-06,0,1.53951e-07,1.135366e-06,1.415164e-07,1.751532e-08,0,5.922907e-08,1.389749e-06,2.465509e-06,6.879245e-07,1.29114e-07,9.086775e-08,2.429223e-07,1.71903e-07,7.270916e-06,1.415248e-06,8.567846e-07,7.623139e-08,0,5.583586e-07,1.810333e-07,9.28168e-07,2.577305e-06,4.847827e-08,0,5.921612e-07,1.411207e-06,3.395042e-07,1.275543e-05,9.293433e-07,0,1.968445e-06,8.861486e-07,6.03758e-08,0,1.394938e-06,4.093803e-07,1.856854e-07,3.083202e-06,6.703156e-07,1.43519e-05,6.476493e-06,0,1.146512e-06,4.209084e-06,6.176525e-07,1.192673e-06,0,1.176686e-06,0,1.417073e-07,1.399988e-07,7.80639e-07,3.275614e-06,5.178219e-07,4.573697e-06,7.023102e-06,1.03496e-06
"Acidiphilium",2.315232e-07,4.810714e-07,1.921639e-07,0,0,0,0,3.380501e-07,1.116433e-06,4.487189e-07,4.609032e-07,0,9.013828e-08,1.757918e-07,2.549691e-06,3.31659e-07,2.9206e-07,2.176273e-07,3.114605e-07,1.395373e-06,1.021354e-07,0,7.646098e-08,0,9.540487e-08,0,0,0,2.366811e-07,6.664327e-07,2.78579e-07,6.740078e-07,0,6.245976e-07,1.023981e-07,1.06751e-06,0,1.274583e-07,0,5.358252e-08,2.778261e-07,0,0,7.483947e-08,0,0,0,0,0,3.230172e-07,4.356721e-07,0,0,0,0,2.523277e-07,0,0,0,0,0,0,0,7.827293e-07,6.36035e-08,0,0,0,0,0,1.50567e-06,0,3.644864e-07,0,0,0,0,2.014151e-07,6.921001e-08,0,0,5.64129e-07,1.90886e-07,0,0,6.09276e-07,0,1.142031e-07,0,0,4.630627e-07,0,0,1.556489e-07,3.350082e-07,0,0,0,1.060702e-07
