"","CBJMJ00700","CBJMJ01400","CBJMJ02800","CBJMJ04200","CBJMJ04201","CBJMJ04202","CBJMJ04203","CHCFJ00700","CHCFJ01400","CHCFJ02800","CHCFJ04200","CHCFJ05601","CHCFJ05602","CHCFJ05603","DGYFJ06201","DGYFJ06202","DGYFJ06203","DGYMJ06201","DGYMJ06202","DGYMJ06203","DHCFJ07801","DHCFJ07802","DHCFJ07803","DHCMJ07801","DHCMJ07802","DHCMJ07803","DHKFJ23501","DHKFJ23502","DHKFJ23503","DSLFJ04101","DSLFJ04102","DSLFJ04103","DSLMJ04101","DSLMJ04102","DSLMJ04103","DSTFJ04001","DSTFJ04002","DSTFJ04003","DSTMJ04001","DSTMJ04002","DSTMJ04003","HBJMJ00700","HBJMJ01400","HBJMJ02800","HBJMJ04200","HBJMJ04201","HBJMJ04202","HBJMJ04203","HHCFJ00700","HHCFJ01400","HHCFJ02800","HHCFJ04200","HHCFJ05601","HHCFJ05602","HHCFJ05603","LBJMJ00700","LBJMJ01400","LBJMJ02800","LBJMJ04200","LBJMJ04201","LBJMJ04202","LBJMJ04203","LHCFJ00700","LHCFJ01400","LHCFJ02800","LHCFJ04200","LHCFJ05601","LHCFJ05602","LHCFJ05603","MBJMJ00700","MBJMJ01400","MBJMJ02800","MBJMJ04200","MBJMJ04201","MBJMJ04202","MBJMJ04203","MHCFJ00700","MHCFJ01400","MHCFJ02800","MHCFJ04200","MHCFJ05601","MHCFJ05602","MHCFJ05603","NBJMJ00100","NBJMJ00700","NBJMJ01400","NBJMJ02800","NBJMJ04200","NBJMJ04201","NBJMJ04202","NBJMJ04203","NHCFJ00100","NHCFJ00700","NHCFJ01400","NHCFJ02800","NHCFJ04200","NHCFJ05601","NHCFJ05602","NHCFJ05603"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27493e-07,0,2.205366e-07,0,2.876273e-07,0,1.534728e-07,0,0,3.091945e-07,3.188112e-07,3.959403e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.032821e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accumulibacter",0,0,1.842612e-07,1.86308e-07,0,0,0,1.890212e-06,1.099892e-06,1.538804e-06,5.321549e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.198287e-07,1.122076e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.560111e-08,4.106441e-07,1.066964e-06,1.361384e-07,0,0,0,0,0,1.226717e-07,1.037693e-07,0,0,0,7.520971e-07,1.013989e-06,1.128924e-06,8.444372e-07,0,0,0,5.044637e-07,0,0,0,0,0,0,1.096533e-07,4.717974e-07,3.123059e-07,3.413397e-06,0,0,0,0,0,0,0,5.857342e-07,0,0,0,0,3.439759e-07,5.741928e-07,4.665004e-07,3.131687e-07,0,0,0
"Acetivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.647179e-07,2.581309e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter",0,5.107307e-07,1.645868e-06,4.241285e-07,7.257648e-08,7.46022e-07,6.229109e-08,5.20911e-07,1.424748e-06,2.716e-06,4.746165e-07,6.134374e-08,8.638371e-07,1.925398e-06,7.728429e-06,2.201874e-06,8.980344e-07,5.601171e-06,6.453083e-06,6.29504e-07,5.028684e-06,2.810285e-07,8.715317e-06,1.266382e-06,6.453273e-06,8.585387e-06,2.418789e-07,2.045225e-07,2.066653e-06,0,1.191842e-07,2.319031e-07,8.096696e-07,8.587318e-08,0,2.635221e-07,0,0,0,0,0,0,4.711506e-07,0,0,1.248126e-07,0,8.831343e-07,2.447233e-07,4.666243e-07,4.669962e-07,1.307538e-07,0,5.880528e-08,2.036514e-06,0,7.077581e-07,8.69853e-07,6.798865e-07,1.124659e-06,2.576069e-07,1.161582e-07,1.336956e-07,7.686314e-07,4.874366e-07,1.659254e-06,5.303254e-07,3.23623e-06,9.272884e-08,0,1.053944e-06,6.120451e-07,6.543003e-07,0,2.725175e-07,9.010427e-08,4.401361e-07,2.320574e-06,6.689104e-07,7.850368e-06,5.207136e-07,1.779506e-06,3.094209e-06,0,0,0,1.733129e-06,1.909186e-06,1.439611e-05,2.269158e-06,2.229463e-06,0,3.817962e-07,3.005952e-07,5.152675e-07,0,2.356125e-08,2.963506e-08,6.279816e-07
"Acetobacterium",0,0,0,0,0,0,0,0,9.194809e-07,2.431804e-07,0,4.488566e-08,2.590831e-06,3.498884e-07,1.698371e-06,4.672695e-08,3.815186e-06,4.342121e-08,1.595543e-07,4.562986e-07,0,1.791466e-07,0,9.304028e-08,0,0,0,2.175333e-07,3.245845e-07,0,0,1.203047e-07,1.198099e-06,0,4.839333e-08,4.890101e-08,4.004915e-08,3.772937e-07,0,0,0,0,1.220226e-06,0,0,0,0,0,2.386348e-07,1.52578e-07,3.974351e-07,0,0,4.196492e-07,9.846914e-07,1.67648e-07,1.928796e-07,0,0,1.084491e-07,1.473809e-07,0,0,8.437657e-07,6.311683e-08,2.250208e-07,1.274483e-07,3.206013e-07,0,3.938286e-07,1.024076e-06,0,1.24158e-07,0,0,0,8.7628e-07,9.706165e-07,1.692759e-07,6.651584e-08,0,1.202082e-06,2.119532e-07,0,0,0,2.212434e-07,0,8.180657e-07,0,0,0,5.066889e-07,2.812587e-08,6.606766e-08,0,0,1.238692e-07,0
"Acetomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.132123e-08,0,0,0,0,5.967851e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholeplasma",2.847779e-06,1.02742e-06,0,0,3.344379e-08,5.614701e-07,0,4.751302e-07,5.022853e-07,2.674554e-08,1.750112e-07,1.375746e-07,2.940906e-07,2.188569e-07,7.386678e-07,1.402829e-07,2.284798e-07,0,2.675161e-08,5.095606e-07,4.62999e-08,1.357095e-07,0,4.40009e-07,1.793127e-07,6.319816e-07,0,5.514979e-08,5.521844e-07,0,4.745959e-08,3.394141e-07,3.363325e-07,1.584521e-07,4.121273e-07,1.59264e-07,0,8.482279e-08,0,1.840467e-07,9.248171e-08,0,1.543435e-06,0,0,0,0,1.925676e-07,0,0,4.56675e-07,0,3.056546e-08,1.401348e-07,9.333943e-08,1.999034e-07,8.414138e-07,2.249806e-07,0,0,1.674561e-07,3.669605e-08,0,3.72818e-07,1.171082e-07,0,0,4.101068e-07,0,1.880275e-07,0,0,0,0,0,2.0483e-07,5.086502e-07,3.692761e-08,4.106006e-08,1.680404e-07,0,5.466526e-07,3.608946e-07,0,0,0,0,6.775752e-08,5.560617e-06,0,2.767097e-07,1.388243e-07,3.271637e-07,4.329112e-08,0,0,0,0,2.148799e-08
"Achromobacter",1.520017e-06,1.789127e-07,1.563298e-06,1.572543e-07,7.95471e-08,4.475606e-06,9.920944e-08,1.328496e-05,1.706241e-05,6.117429e-07,1.87201e-07,6.859212e-08,4.183548e-08,2.466506e-07,6.512832e-08,7.825979e-08,7.330939e-07,4.978207e-07,0,5.529911e-07,0,1.150142e-07,0,0,0,8.315743e-08,4.098172e-08,0,5.949357e-08,0,6.143993e-08,0,8.543249e-08,2.657549e-07,2.232216e-08,0,0,0,0,0,9.897434e-08,0,6.58421e-08,4.195971e-07,6.843838e-08,9.959537e-07,6.590447e-08,2.597593e-06,5.380853e-06,2.451593e-06,5.24303e-07,6.10909e-08,0,0,0,7.102052e-07,1.896644e-07,6.593524e-07,1.87712e-06,3.179142e-06,5.275828e-07,0,1.510062e-05,1.01166e-05,0,4.791811e-08,0,7.838671e-08,0,1.113355e-07,7.754677e-07,9.736422e-07,0,1.752064e-07,4.744951e-08,2.036461e-07,1.366971e-06,6.474656e-06,0,4.882961e-07,2.063989e-07,3.181852e-08,7.045048e-08,8.063674e-06,2.799664e-06,0,7.060482e-07,1.532017e-06,7.326422e-06,6.808072e-06,2.008162e-06,2.678792e-06,1.34312e-05,6.895501e-06,1.321353e-07,2.735808e-07,3.497752e-08,1.508694e-07,9.264751e-08
"Acidaminococcus",2.435722e-06,1.256577e-06,8.445303e-08,2.424399e-07,0,0,0,8.131293e-07,2.541519e-06,4.697214e-07,9.949236e-07,2.824905e-07,4.053045e-06,6.593568e-06,4.674125e-06,2.03967e-06,7.624037e-07,6.398107e-08,1.089639e-07,6.095656e-06,1.103857e-07,6.69383e-07,1.366513e-07,1.738348e-07,0,0,3.511786e-07,4.537043e-07,1.131715e-06,1.29918e-07,1.215626e-06,5.26381e-07,3.3171e-06,1.444476e-07,6.498954e-07,1.61839e-07,0,1.652085e-06,0,1.333268e-07,2.097804e-07,0,1.758e-06,0,0,5.851526e-08,0,1.344451e-07,8.24217e-07,1.840077e-06,1.928243e-06,7.040354e-08,0,3.157633e-07,1.172777e-06,3.482178e-06,8.312847e-07,1.464519e-07,0,5.651267e-07,4.673053e-08,0,1.169006e-06,2.166992e-06,4.899635e-07,1.772001e-07,3.684127e-07,1.933741e-06,2.31555e-07,9.276368e-06,1.561632e-06,0,2.385355e-07,0,0,0,6.03709e-07,3.314851e-06,1.0941e-07,1.502279e-06,7.50898e-07,6.81141e-06,1.826538e-06,0,0,4.668731e-06,8.863019e-08,1.668712e-07,8.03101e-07,0,3.367542e-07,1.781861e-07,1.170187e-06,9.718199e-07,0,0,4.137585e-08,4.633377e-07,3.718022e-07
"Acidiphilium",0,3.944212e-07,0,0,0,0,0,0,8.014376e-07,0,0,0,2.359521e-07,1.771688e-07,2.016373e-07,3.642032e-07,1.801547e-07,7.242657e-08,7.14803e-08,8.64492e-07,0,0,0,7.294358e-08,0,0,0,0,6.139736e-08,0,0,0,3.960402e-07,0,7.153236e-08,0,0,2.077734e-07,0,0,0,0,5.968646e-07,0,0,0,0,0,1.0316e-07,0,2.919154e-08,0,0,0,1.301842e-07,8.148152e-07,1.60733e-07,9.607243e-08,0,0,0,0,0,3.01387e-06,0,0,0,2.385682e-07,0,2.998468e-07,0,0,0,1.359601e-07,0,0,5.070368e-07,5.779886e-07,7.177298e-08,1.479688e-07,0,3.622799e-07,1.336894e-07,0,0,0,0,0,0,0,0,0,3.042377e-07,2.493588e-07,0,0,0,0,6.274494e-08
