"","CBJMR00700","CBJMR01400","CBJMR02800","CBJMR04200","CBJMR04201","CBJMR04202","CBJMR04203","CHCFR00700","CHCFR01400","CHCFR02800","CHCFR04200","CHCFR05601","CHCFR05602","CHCFR05603","DGYFR06201","DGYFR06202","DGYFR06203","DGYMR06201","DGYMR06202","DGYMR06203","DHCFR07801","DHCFR07802","DHCFR07803","DHCMR07801","DHCMR07802","DHCMR07803","DHKFR23501","DHKFR23502","DHKFR23503","DSLFR04101","DSLFR04102","DSLFR04103","DSLMR04101","DSLMR04102","DSLMR04103","DSTFR04001","DSTFR04002","DSTFR04003","DSTMR04001","DSTMR04002","DSTMR04003","HBJMR00700","HBJMR01400","HBJMR02800","HBJMR04200","HBJMR04201","HBJMR04202","HBJMR04203","HHCFR00700","HHCFR01400","HHCFR02800","HHCFR04200","HHCFR05601","HHCFR05602","HHCFR05603","LBJMR00700","LBJMR01400","LBJMR02800","LBJMR04200","LBJMR04201","LBJMR04202","LBJMR04203","LHCFR00700","LHCFR01400","LHCFR02800","LHCFR04200","LHCFR05601","LHCFR05602","LHCFR05603","MBJMR00700","MBJMR01400","MBJMR02800","MBJMR04200","MBJMR04201","MBJMR04202","MBJMR04203","MHCFR00700","MHCFR01400","MHCFR02800","MHCFR04200","MHCFR05601","MHCFR05602","MHCFR05603","NBJMR00100","NBJMR00700","NBJMR01400","NBJMR02800","NBJMR04200","NBJMR04201","NBJMR04202","NBJMR04203","NHCFR00100","NHCFR00700","NHCFR01400","NHCFR02800","NHCFR04200","NHCFR05601","NHCFR05602","NHCFR05603"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.130838e-06,0,0,0,1.059477e-07,0,0,0,0,6.130637e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accumulibacter",0,0,0,0,0,0,0,0,0,2.280179e-07,2.690598e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.290933e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04845e-08,0,0,0,0,3.718929e-08,0,1.400597e-07,4.926158e-07,0,0,8.937921e-08,0,0,0,0,0,9.280487e-07,0,0,0,6.873663e-08,4.061592e-07,0,1.05474e-07,6.648696e-07,0,0,9.892378e-08,0,0,0,0,3.854715e-08,0,2.357977e-07,1.397367e-06,0,0,0,0,0,0,0,0,1.627364e-06,0,0,0,0,1.012586e-07,7.691014e-08,1.991328e-07,7.478038e-08,0,0
"Acetivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.645648e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter",0,8.637242e-07,0.0001575945,4.465046e-06,3.919256e-06,4.953356e-05,6.031957e-08,0,0,9.272524e-07,6.228138e-06,1.797885e-06,7.48861e-06,2.930243e-06,5.497579e-07,6.194772e-07,7.234188e-07,6.419363e-07,0,8.644192e-07,1.531978e-06,3.135235e-06,1.173896e-07,2.605576e-07,0,4.202745e-06,3.096717e-06,0,0,2.313889e-07,8.910483e-07,1.314995e-05,8.326979e-08,1.276793e-07,1.260024e-06,5.254854e-08,3.877442e-07,0,0,0,0,0,0,6.614313e-06,1.739086e-05,6.499359e-05,1.118531e-06,6.970075e-06,5.611015e-08,0,1.873097e-06,2.551255e-06,3.803054e-06,3.393111e-06,2.984136e-06,0,6.44625e-07,1.339723e-05,2.56565e-05,7.676441e-05,6.269586e-06,9.47479e-06,0,0,4.04048e-07,2.980292e-05,1.375655e-05,5.8068e-05,2.546588e-05,1.073734e-05,8.564026e-08,2.927515e-06,3.338202e-06,1.310058e-06,4.450905e-06,7.640507e-05,0,0,5.768127e-07,4.767501e-05,1.052882e-06,5.487236e-06,8.865605e-06,0,0,9.908619e-07,2.798175e-07,7.802197e-06,2.20173e-06,3.470761e-06,4.392651e-06,0,0,0,1.741287e-05,1.194556e-05,2.909662e-06,6.967153e-06,4.310023e-06
"Acetobacterium",2.945651e-06,1.70299e-06,7.178469e-07,1.227275e-06,2.252782e-06,1.738292e-06,0,2.717927e-07,1.026983e-06,1.035702e-06,1.506079e-06,5.592809e-06,1.611368e-06,1.476895e-06,1.73116e-06,3.684265e-06,2.757183e-06,4.875545e-07,4.679213e-06,2.110051e-06,5.964961e-06,3.65884e-06,1.148377e-06,0,2.701725e-06,7.971318e-07,3.528675e-06,0,2.161831e-07,2.16776e-06,1.52366e-06,2.198041e-06,1.757918e-07,2.619991e-08,4.568029e-07,3.859196e-07,1.743899e-06,3.733468e-06,1.39835e-06,1.307482e-06,7.302384e-07,3.041011e-07,0,2.772971e-07,2.100671e-06,0,7.238963e-07,5.499869e-07,1.173663e-06,8.42406e-07,6.496832e-07,6.859335e-07,2.83895e-06,1.862359e-06,1.827009e-06,0,3.553363e-07,6.548905e-06,1.279512e-06,5.745234e-07,1.368122e-07,4.05011e-07,6.694654e-07,7.587504e-07,1.148682e-06,1.526453e-06,1.84571e-06,1.504856e-06,1.053762e-06,5.269941e-07,3.591533e-07,1.556798e-06,3.176086e-06,9.351196e-07,0,2.030919e-06,1.140607e-06,2.470573e-07,1.980313e-06,2.39204e-06,1.190829e-06,2.021343e-06,1.808286e-06,0,5.603916e-07,8.479822e-07,4.978481e-06,1.080262e-06,8.985371e-08,6.894816e-07,1.042545e-06,0,7.164652e-07,4.113051e-07,1.031407e-06,1.756917e-06,1.496298e-06,1.989667e-06,1.375588e-06
"Acetomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.613942e-07,0,0,1.140089e-07,1.598125e-07,0,0,0,0,4.973679e-08,0,0,0,0,0,0,0,8.217548e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.710481e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholeplasma",0,5.951391e-06,3.693873e-07,1.565323e-06,1.044467e-06,4.915188e-06,7.46212e-08,5.262503e-07,5.262764e-07,3.795412e-07,2.824401e-07,8.624827e-07,2.415911e-07,6.636466e-07,1.472014e-05,2.07434e-06,1.729801e-06,5.632119e-06,0,7.187987e-07,5.863334e-06,8.04562e-07,2.525908e-06,7.415078e-08,8.60043e-07,5.669378e-07,1.323434e-06,0,0,8.081642e-06,2.475627e-06,1.029263e-06,4.209092e-07,1.627081e-06,1.125674e-06,8.666622e-07,1.268354e-06,3.152229e-07,1.779399e-05,1.053368e-06,1.715937e-06,5.822742e-07,7.722238e-08,3.32723e-08,2.155991e-06,2.626845e-06,4.754159e-07,3.548486e-07,4.429011e-07,5.296029e-07,8.101306e-07,3.04002e-07,4.378616e-07,1.740507e-06,1.539201e-06,0,5.832342e-07,9.696667e-07,9.701865e-07,1.349351e-06,2.332815e-07,1.034803e-07,4.644774e-07,5.866892e-07,1.134545e-06,1.002604e-06,9.25786e-07,5.764421e-07,1.220728e-06,8.357069e-07,1.611713e-06,4.003552e-07,4.510262e-06,5.08287e-07,1.041528e-06,1.000186e-06,2.873085e-07,6.660231e-07,1.019301e-06,1.435242e-06,1.267252e-06,1.093007e-06,1.309348e-06,0,3.324721e-07,2.865245e-06,3.12317e-08,1.198678e-06,7.53497e-07,2.119786e-06,5.91933e-07,1.031212e-05,4.498725e-07,1.636642e-06,1.568217e-06,3.8535e-07,8.917264e-07,1.318026e-06,1.235053e-06
"Achromobacter",0,2.683834e-07,5.253436e-06,2.733484e-07,0,2.095496e-07,1.596655e-07,2.116204e-05,2.822832e-06,1.81582e-07,1.862158e-07,7.888459e-07,6.500893e-08,2.718679e-07,1.144068e-06,5.472809e-07,4.308851e-07,3.048171e-07,0,5.300525e-07,3.364692e-07,7.578735e-08,6.158904e-08,3.384563e-07,5.426739e-08,1.218121e-07,3.70042e-07,0,0,0,7.839804e-08,2.196889e-07,4.463733e-07,7.484247e-08,0,2.402576e-06,0,8.744203e-07,8.732889e-08,4.26795e-08,2.020779e-07,0,5.2017e-07,7.220432e-08,7.118187e-07,5.035728e-07,8.412948e-07,2.699203e-07,1.515203e-06,5.035386e-07,1.305433e-06,1.494491e-07,8.510411e-08,0,0,1.865983e-06,8.938356e-07,5.770079e-08,7.507054e-07,2.065301e-07,8.277432e-07,5.931845e-07,1.467371e-06,6.098761e-06,7.048592e-07,4.423734e-08,1.17436e-07,7.533856e-08,0,0,1.041809e-07,5.02606e-07,1.597915e-07,0,1.378095e-07,0,6.24043e-06,1.960132e-06,5.895053e-07,1.350548e-07,1.896515e-07,6.575842e-08,0,0,7.034399e-08,0,6.261312e-06,1.02777e-06,5.96511e-07,5.936723e-07,9.826354e-08,1.754014e-06,1.322354e-05,1.548282e-06,7.820048e-08,0,0,3.381017e-07,1.233728e-07
"Acidaminococcus",4.493914e-06,7.905346e-06,4.112137e-06,1.066662e-05,8.333015e-06,1.082369e-05,0,4.999018e-06,4.330374e-06,9.723456e-06,6.759746e-06,1.218722e-05,1.342537e-05,8.707975e-06,8.520871e-06,1.619253e-05,9.152026e-07,5.872281e-06,3.624926e-07,1.115414e-05,1.748732e-05,4.939342e-06,7.703401e-06,0,9.392457e-06,3.108305e-06,5.92264e-05,0,4.496867e-07,5.824109e-06,4.077026e-06,9.602597e-06,6.086678e-07,2.578926e-06,4.901793e-06,6.327639e-06,6.099632e-06,2.171968e-05,1.088158e-05,3.46609e-06,6.24515e-06,9.795103e-06,0,9.795658e-07,1.557687e-05,6.051437e-06,4.99679e-06,1.6322e-06,1.941019e-06,4.594711e-06,5.398328e-06,5.294051e-06,7.861098e-06,5.035672e-06,3.095252e-06,0,3.687782e-06,8.235541e-06,8.683763e-06,1.576429e-05,6.088612e-07,3.174655e-06,4.796958e-06,2.205636e-06,7.00195e-06,7.513132e-06,8.244171e-06,1.904497e-05,7.707287e-06,4.112223e-06,5.520818e-06,3.609823e-06,1.42316e-05,1.296185e-05,2.368356e-06,3.012509e-06,2.891098e-06,3.323449e-06,6.979772e-06,6.301339e-06,4.822798e-06,9.776893e-06,8.441917e-06,0,2.812589e-06,5.681269e-06,6.224522e-06,1.072219e-05,3.643251e-07,3.872387e-06,6.775564e-06,0,5.317335e-06,5.058781e-06,5.60762e-06,5.531364e-06,9.890476e-06,1.46393e-05,1.248421e-05
"Acidiphilium",0,9.206282e-07,2.297841e-07,6.209448e-07,5.060442e-07,3.438563e-07,0,7.568477e-07,1.273155e-06,6.594141e-07,6.286215e-07,4.171777e-07,5.57762e-07,4.202817e-07,2.068963e-06,1.325088e-06,1.126308e-07,8.719981e-07,2.307389e-06,1.286773e-06,9.008842e-07,9.597452e-07,2.015473e-07,0,9.112827e-07,6.916518e-07,2.928502e-07,0,1.108788e-07,4.706418e-07,2.2416e-07,1.295796e-06,2.517019e-07,3.700903e-07,1.686599e-06,9.591064e-07,1.239703e-06,4.617148e-07,1.276025e-06,1.824308e-06,7.88655e-07,1.990876e-07,0,1.120611e-07,3.372431e-07,1.56309e-06,1.806915e-07,2.53492e-07,1.357233e-06,1.745975e-06,6.952605e-07,6.133398e-07,1.062122e-06,6.962912e-07,4.515681e-07,0,0,0,1.066629e-06,7.232103e-07,0,2.149778e-07,3.271752e-07,1.136361e-06,5.956298e-07,1.661796e-07,3.028692e-07,2.531376e-07,1.065302e-06,0,3.557154e-06,2.697921e-07,8.327823e-07,1.564183e-06,0,4.405914e-07,0,8.532785e-07,9.949985e-07,9.559263e-07,3.536959e-07,4.331089e-07,4.061742e-07,0,0,6.482666e-07,1.683698e-06,1.08382e-06,0,2.715508e-07,1.131657e-06,0,1.680517e-07,9.891561e-07,6.933303e-07,5.684379e-07,1.346047e-07,4.396259e-07,5.337523e-07
