"","CBJMC00700","CBJMC01400","CBJMC02800","CBJMC04200","CBJMC04201","CBJMC04202","CBJMC04203","CHCFC00700","CHCFC01400","CHCFC02800","CHCFC04200","CHCFC05601","CHCFC05602","CHCFC05603","DGYFC06201","DGYFC06202","DGYFC06203","DGYMC06201","DGYMC06202","DGYMC06203","DHCFC07801","DHCFC07802","DHCFC07803","DHCMC07801","DHCMC07802","DHCMC07803","DHKFC23501","DHKFC23502","DHKFC23503","DSLFC04101","DSLFC04102","DSLFC04103","DSLMC04101","DSLMC04102","DSLMC04103","DSTFC04001","DSTFC04002","DSTFC04003","DSTMC04001","DSTMC04002","DSTMC04003","HBJMC00700","HBJMC01400","HBJMC02800","HBJMC04200","HBJMC04201","HBJMC04202","HBJMC04203","HHCFC00700","HHCFC01400","HHCFC02800","HHCFC04200","HHCFC05601","HHCFC05602","HHCFC05603","LBJMC00700","LBJMC01400","LBJMC02800","LBJMC04200","LBJMC04201","LBJMC04202","LBJMC04203","LHCFC00700","LHCFC01400","LHCFC02800","LHCFC04200","LHCFC05601","LHCFC05602","LHCFC05603","MBJMC00700","MBJMC01400","MBJMC02800","MBJMC04200","MBJMC04201","MBJMC04202","MBJMC04203","MHCFC00700","MHCFC01400","MHCFC02800","MHCFC04200","MHCFC05601","MHCFC05602","MHCFC05603","NBJMC00100","NBJMC00700","NBJMC01400","NBJMC02800","NBJMC04200","NBJMC04201","NBJMC04202","NBJMC04203","NHCFC00100","NHCFC00700","NHCFC01400","NHCFC02800","NHCFC04200","NHCFC05601","NHCFC05602","NHCFC05603"
"Abiotrophia defectiva","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"Acetobacterium dehalogenans","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.424287e-07","1.122503e-06","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.685380e-07","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.864396e-07","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.795619e-07","0.000000e+00","1.113790e-07","1.287865e-07","0.000000e+00","6.271689e-07","0.000000e+00","1.309122e-07","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.149544e-07","2.249704e-07","3.940350e-07","8.206726e-07","1.552868e-06","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.361935e-08","1.100915e-07","0.000000e+00","0.000000e+00","0.000000e+00","2.095220e-07","0.000000e+00","4.660619e-07","1.092597e-06","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.134704e-07","3.968566e-07","6.093266e-07","3.983238e-07","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.740404e-07","0.000000e+00","0.000000e+00","0.000000e+00","6.661999e-07","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.905098e-07","0.000000e+00","0.000000e+00","0.000000e+00","1.061550e-07","4.160085e-07","0.000000e+00","0.000000e+00","0.000000e+00"
"Acholeplasma modicum","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.089536e-07","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"Achromobacter arsenitoxydans","0.000000e+00","6.537454e-08","1.217065e-06","3.617425e-07","0.000000e+00","1.821107e-07","3.223492e-06","4.133475e-07","1.653247e-07","3.998824e-08","1.346583e-07","0.000000e+00","0.000000e+00","8.475437e-08","3.691965e-08","1.742138e-06","8.401226e-08","4.292477e-08","0.000000e+00","0.000000e+00","0.000000e+00","2.090734e-07","0.000000e+00","0.000000e+00","0.000000e+00","3.130408e-07","1.669545e-07","2.572051e-07","2.039341e-06","0.000000e+00","0.000000e+00","3.597386e-08","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.053383e-07","1.484340e-07","0.000000e+00","4.737904e-06","1.280716e-07","0.000000e+00","8.987276e-06","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.382413e-07","9.490989e-07","1.537524e-07","1.201481e-07","1.095569e-07","1.388821e-07","9.948741e-06","5.072866e-08","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.280411e-06","7.773495e-07","0.000000e+00","4.838506e-07","0.000000e+00","6.901778e-07","1.432600e-05","1.171828e-07","7.325910e-08","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.593212e-07","4.067311e-07","0.000000e+00","1.308554e-05","0.000000e+00","0.000000e+00","5.667886e-07","1.333589e-06","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"Achromobacter insuavis","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"Achromobacter piechaudii","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"Achromobacter xylosoxidans","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.840880e-05","6.063551e-06","7.719123e-08","3.249217e-08","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.187277e-07","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.992389e-08","0.000000e+00","4.168348e-08","0.000000e+00","3.593557e-08","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.664040e-07","0.000000e+00","0.000000e+00","0.000000e+00","1.788549e-07","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.027682e-06","1.047548e-07","4.896199e-08","0.000000e+00","6.318115e-08","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.336418e-08","0.000000e+00","0.000000e+00","0.000000e+00","4.951456e-06","4.213345e-07","1.508024e-07","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.596467e-07","8.404672e-06","4.152081e-08","0.000000e+00","1.025994e-07","0.000000e+00","1.161772e-07","3.310336e-08"
"Acidaminococcus intestini","3.984851e-07","6.520648e-08","0.000000e+00","2.164876e-07","1.527312e-07","2.862845e-07","7.841965e-08","0.000000e+00","4.122493e-08","5.982817e-08","3.357803e-08","0.000000e+00","1.628901e-08","2.113412e-08","1.841237e-08","1.655679e-07","2.094907e-08","1.712577e-07","0.000000e+00","4.311196e-08","3.067386e-08","7.820097e-08","4.303944e-07","1.462632e-07","3.054636e-07","1.944687e-07","6.704767e-07","7.097558e-07","1.010370e-06","1.019896e-07","2.579615e-08","8.970346e-08","0.000000e+00","0.000000e+00","5.570476e-08","1.377100e-06","2.834242e-07","1.276253e-07","5.504124e-08","2.621936e-07","1.571800e-07","0.000000e+00","0.000000e+00","0.000000e+00","7.000307e-07","6.482839e-08","1.350207e-07","1.277424e-07","0.000000e+00","0.000000e+00","3.952219e-08","2.533742e-08","0.000000e+00","0.000000e+00","5.077754e-08","0.000000e+00","3.100382e-07","3.447148e-08","1.721558e-07","2.771264e-07","4.630745e-07","2.458693e-07","4.617504e-08","4.658763e-08","2.529913e-08","1.120119e-07","1.632315e-08","1.670818e-08","1.638350e-08","6.349044e-08","0.000000e+00","0.000000e+00","1.723003e-07","2.018679e-07","8.043447e-08","6.367427e-08","0.000000e+00","0.000000e+00","0.000000e+00","3.653539e-08","0.000000e+00","1.848609e-08","3.440803e-08","0.000000e+00","3.864744e-08","0.000000e+00","7.167949e-08","1.217057e-07","6.091249e-08","7.546614e-07","1.927452e-07","0.000000e+00","0.000000e+00","0.000000e+00","6.986036e-08","0.000000e+00","0.000000e+00","3.001494e-08","0.000000e+00"
"Acidipropionibacterium acidipropionici","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.091579e-07","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.319180e-07","0.000000e+00","5.165430e-08"
"Acidipropionibacterium jensenii","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.255642e-08","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
