file	process 	num_seqs	sum_len		filename	read lost in filtlong	per read loss in filtlong	read lost in minimap	per read loss in minmap
SRR15214153.fastq	raw	1984390	33649253344		SRR19726169.fastq	5057	0.9699%	0	0.0000%
SRR15214153.fastq.gz	filtlong	1965108	33312767376		SRR15214153.fastq	19282	0.9717%	0	0.0000%
SRR15214153_other.fastq.gz	minimap	1965108	33312767376		SRR19683890.fastq	37453	0.9521%	0	0.0000%
SRR19683890.fastq	raw	3933708	75997734768		SRR19683891.fastq	142030	4.9448%	0	0.0000%
SRR19683890.fastq.gz	filtlong	3896255	75237772044		SRR19732514.fastq	20994	0.9774%	0	0.0000%
SRR19683890_other.fastq.gz	minimap	3896255	75237772044		SRR19732729.fastq	18220	0.9427%	0	0.0000%
SRR19683891.fastq	raw	2872317	22416650091		SRR19736685.fastq	41509	0.9693%	0	0.0000%
SRR19683891.fastq.gz	filtlong	2730287	22192490145						
SRR19683891_other.fastq.gz	minimap	2730287	22192490145						
SRR19726169.fastq	raw	521405	8598356757						
SRR19726169.fastq.gz	filtlong	516348	8512378786						
SRR19726169_other.fastq.gz	minimap	516348	8512378786						
SRR19732514.fastq	raw	2147916	35960758459						
SRR19732514.fastq.gz	filtlong	2126922	35601162605						
SRR19732514_other.fastq.gz	minimap	2126922	35601162605						
SRR19732729.fastq	raw	1932693	35894296324						
SRR19732729.fastq.gz	filtlong	1914473	35535370004						
SRR19732729_other.fastq.gz	minimap	1914473	35535370004						
SRR19736685.fastq	raw	4282202	72828594344						
SRR19736685.fastq.gz	filtlong	4240693	72100323222						
SRR19736685_other.fastq.gz	minimap	4240693	72100323222						
