file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)
SRR19726169_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19683891_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19732729_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR15214153_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19732514_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19736685_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19683890_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19683891_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19726169_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19732729_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR15214153_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19736685_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19683890_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19732514_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19726169_other.fastq.gz	FASTQ	DNA	516312	8511703069	2016	16485.6	44765	14341.0	15704.0	17869.0	0	16183	99.21	98.07
SRR19683891_other.fastq.gz	FASTQ	DNA	2687401	22015314087	2000	8192.0	46626	4814.0	7237.0	10636.0	0	9816	98.90	97.39
SRR15214153_other.fastq.gz	FASTQ	DNA	1964192	33298316466	2000	16952.7	52396	12961.0	15963.0	19853.0	0	17616	98.03	95.27
SRR19732729_other.fastq.gz	FASTQ	DNA	1914271	35531147338	2008	18561.2	50558	15000.0	17367.0	21045.0	0	18627	98.26	95.90
SRR19732514_other.fastq.gz	FASTQ	DNA	2126764	35598352645	2006	16738.3	50018	14438.0	15918.0	18250.0	0	16470	98.68	96.76
SRR19736685_other.fastq.gz	FASTQ	DNA	4240352	72094033171	2000	17001.9	53591	14331.0	16108.0	18784.0	0	16851	98.68	96.83
SRR19683890_other.fastq.gz	FASTQ	DNA	3895696	75225651438	2008	19309.9	63490	15551.0	18188.0	22018.0	0	19533	98.28	95.85
