file	step	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	% loss
SRR15214153	raw	FASTQ	DNA	1984390	33649253344	493	16957	52396	12960	15970	19871	0	17635	97.96	95.12	
SRR15214153	filtlong	FASTQ	DNA	1965108	33312767376	2000	16952.1	52396	12960	15963	19852	0	17616	98.03	95.27	-0.97%
SRR15214153	minimap	FASTQ	DNA	1964192	33298316466	2000	16952.7	52396	12961	15963	19853	0	17616	98.03	95.27	-0.05%
SRR19683890	raw	FASTQ	DNA	3933708	75997734768	715	19319.6	65014	15555	18196	22033	0	19546	98.21	95.7	
SRR19683890	filtlong	FASTQ	DNA	3896255	75237772044	2008	19310.3	63490	15551	18188	22018	0	19533	98.28	95.85	-0.95%
SRR19683890	minimap	FASTQ	DNA	3895696	75225651438	2008	19309.9	63490	15551	18188	22018	0	19533	98.28	95.85	-0.01%
SRR19683891	raw	FASTQ	DNA	2872317	22416650091	467	7804.4	46626	4426	6885	10361	0	9726	98.9	97.38	
SRR19683891	filtlong	FASTQ	DNA	2730287	22192490145	2000	8128.3	46626	4742	7160	10575	0	9776	98.91	97.4	-4.94%
SRR19683891	minimap	FASTQ	DNA	2687401	22015314087	2000	8192	46626	4814	7237	10636	0	9816	98.9	97.39	-1.57%
SRR19726169	raw	FASTQ	DNA	521405	8598356757	2016	16490.7	44765	14342	15708	17875	0	16188	99.14	97.89	
SRR19726169	filtlong	FASTQ	DNA	516348	8512378786	2016	16485.7	44765	14341	15704	17869	0	16183	99.21	98.07	-0.97%
SRR19726169	minimap	FASTQ	DNA	516312	8511703069	2016	16485.6	44765	14341	15704	17869	0	16183	99.21	98.07	-0.01%
SRR19732514	raw	FASTQ	DNA	2147916	35960758459	2006	16742.2	50018	14440	15921	18255	0	16474	98.61	96.6	
SRR19732514	filtlong	FASTQ	DNA	2126922	35601162605	2006	16738.3	50018	14438	15918	18250	0	16470	98.68	96.76	-0.98%
SRR19732514	minimap	FASTQ	DNA	2126764	35598352645	2006	16738.3	50018	14438	15918	18250	0	16470	98.68	96.76	-0.01%
SRR19732729	raw	FASTQ	DNA	1932693	35894296324	508	18572.2	50558	15004	17375	21061	0	18640	98.19	95.76	
SRR19732729	filtlong	FASTQ	DNA	1914473	35535370004	2008	18561.4	50558	15000	17367	21045	0	18627	98.26	95.9	-0.94%
SRR19732729	minimap	FASTQ	DNA	1914271	35531147338	2008	18561.2	50558	15000	17367	21045	0	18627	98.26	95.9	-0.01%
SRR19736685	raw	FASTQ	DNA	4282202	72828594344	2000	17007.3	53591	14333	16113	18791	0	16856	98.61	96.67	
SRR19736685	filtlong	FASTQ	DNA	4240693	72100323222	2000	17002	53591	14331	16109	18784	0	16851	98.68	96.83	-0.97%
SRR19736685	minimap	FASTQ	DNA	4240352	72094033171	2000	17001.9	53591	14331	16108	18784	0	16851	98.68	96.83	-0.01%
