"Mag","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.003","Bacteria","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas_funiformis"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.004","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.006","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_uniformis"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.007","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","Firm-11","Firm-11_sp900553905"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.008","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_johnsonii"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.009","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-273","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.010","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.011","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","OF09-33XD","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.014","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA5446","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.016","Bacteria","Firmicutes_B","Dehalobacteriia","UBA4068","UBA4068","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.017","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_dorei"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.021","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.022","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","Firm-11","Firm-11_sp900540045"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.023","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.025","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","BX7","JAAYBB01","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.026","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_sp000434235"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.029","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium_sp002160895"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.032","Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter_A","Methanobrevibacter_A_woesei"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.033","Bacteria","Firmicutes_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium_faecium"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.034","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes_A","Alistipes_A_ihumii"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.035","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.036","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.037","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag1","Zag1_sp000438175"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.038","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.039","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_plebeius_A"
