"Mag","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.003","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_barnesiae"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.004","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_gallinarum"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.012","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecalis"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.013","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_flexneri"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.017","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_ingluviei"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.018","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_aviarius"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.022","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_ingluviei"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.023","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_saerimneri"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.026","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella_hellenica"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.027","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri_E"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.029","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_gallinarum"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.033","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_sp900557215"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.034","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.036","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_aviarius"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.037","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_aviarius"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.038","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_aviarius"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.045","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_crispatus"
"Ileum.out.p_ctg.gfa.seq.fa.len.circular.fa.052","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_saerimneri"
"Ileum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.121","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_sp900557215"
"Ileum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.129","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_gallinarum"
"Ileum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.55","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Romboutsia","Unidentified"
"Ileum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.60","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger_sp900548355"
"Ileum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.67","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unidentified"
"Ileum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.70","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-822","Unidentified"
"Ileum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.99","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_E","Enterococcus_E_cecorum"
