<<<<<<< HEAD
entry	name	orthology	orthology_name
ko04974	Protein digestion and absorption	K06002  	pepsin A [EC:3.4.23.1]
ko04974	Protein digestion and absorption	K01312  	trypsin [EC:3.4.21.4]
ko04974	Protein digestion and absorption	K01310  	chymotrypsin [EC:3.4.21.1]
ko04974	Protein digestion and absorption	K09632  	chymotrypsin-like protease [EC:3.4.21.-]
ko04974	Protein digestion and absorption	K01346  	pancreatic elastase II [EC:3.4.21.71]
ko04974	Protein digestion and absorption	K01345  	pancreatic endopeptidase E [EC:3.4.21.70]
ko04974	Protein digestion and absorption	K08779  	carboxypeptidase A1 [EC:3.4.17.1]
ko04974	Protein digestion and absorption	K01298  	carboxypeptidase A2 [EC:3.4.17.15]
ko04974	Protein digestion and absorption	K08780  	carboxypeptidase A3 [EC:3.4.17.1]
ko04974	Protein digestion and absorption	K01291  	carboxypeptidase B [EC:3.4.17.2]
ko04974	Protein digestion and absorption	K01300  	carboxypeptidase B2 [EC:3.4.17.20]
ko04974	Protein digestion and absorption	K12040  	"solute carrier family 9 (sodium/hydrogen exchanger), member 3"
ko04974	Protein digestion and absorption	K14206  	"solute carrier family 15 (oligopeptide transporter), member 1"
ko04974	Protein digestion and absorption	K01539  	sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]
ko04974	Protein digestion and absorption	K01540  	sodium/potassium-transporting ATPase subunit beta
ko04974	Protein digestion and absorption	K01538  	sodium/potassium-transporting ATPase subunit gamma (FXYD domain-containing ion transport regulator 2)
ko04974	Protein digestion and absorption	K04945  	potassium intermediate/small conductance calcium-activated channel subfamily N member 4
ko04974	Protein digestion and absorption	K04916  	potassium channel subfamily K member 5
ko04974	Protein digestion and absorption	K04897  	potassium voltage-gated channel Isk-related subfamily E member 3
ko04974	Protein digestion and absorption	K04926  	potassium voltage-gated channel KQT-like subfamily member 1
ko04974	Protein digestion and absorption	K05006  	potassium inwardly-rectifying channel subfamily J member 13
ko04974	Protein digestion and absorption	K14207  	"solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 2"
ko04974	Protein digestion and absorption	K01389  	neprilysin [EC:3.4.24.11]
ko04974	Protein digestion and absorption	K01395  	meprin A [EC:3.4.24.18]
ko04974	Protein digestion and absorption	K08606  	meprin B [EC:3.4.24.63]
ko04974	Protein digestion and absorption	K09708  	angiotensin-converting enzyme 2 [EC:3.4.17.23]
ko04974	Protein digestion and absorption	K01285  	lysosomal Pro-X carboxypeptidase [EC:3.4.16.2]
ko04974	Protein digestion and absorption	K01278  	dipeptidyl-peptidase 4 [EC:3.4.14.5]
ko04974	Protein digestion and absorption	K14208  	Xaa-Pro aminopeptidase 2 [EC:3.4.11.9]
ko04974	Protein digestion and absorption	K05612  	"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter), member 1"
ko04974	Protein digestion and absorption	K05616  	"solute carrier family 1 (neutral amino acid transporter), member 5"
ko04974	Protein digestion and absorption	K05849  	solute carrier family 8 (sodium/calcium exchanger)
ko04974	Protein digestion and absorption	K05334  	solute carrier family 6 (neurotransmitter transporter) member 19
ko04974	Protein digestion and absorption	K06519  	"solute carrier family 3, member 2"
ko04974	Protein digestion and absorption	K13781  	"solute carrier family 7 (L-type amino acid transporter), member 8"
ko04974	Protein digestion and absorption	K14209  	solute carrier family 36 (proton-coupled amino acid transporter)
ko04974	Protein digestion and absorption	K08187  	"MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
ko04974	Protein digestion and absorption	K14210  	"solute carrier family 3 (neutral and basic amino acid transporter), member 1"
ko04974	Protein digestion and absorption	K13868  	"solute carrier family 7 (L-type amino acid transporter), member 9/15"
ko04974	Protein digestion and absorption	K13867  	"solute carrier family 7 (L-type amino acid transporter), member 7"
ko04974	Protein digestion and absorption	K14211  	elastin
ko04974	Protein digestion and absorption	K06236  	collagen type I alpha
ko04974	Protein digestion and absorption	K19719  	collagen type II alpha
ko04974	Protein digestion and absorption	K19720  	collagen type III alpha
ko04974	Protein digestion and absorption	K06237  	collagen type IV alpha
ko04974	Protein digestion and absorption	K19721  	"collagen type V/XI/XXIV/XXVII, alpha"
ko04974	Protein digestion and absorption	K06238  	collagen type VI alpha
ko04974	Protein digestion and absorption	K16628  	collagen type VII alpha
ko04974	Protein digestion and absorption	K23455  	collagen type VIII alpha
ko04974	Protein digestion and absorption	K08131  	collagen type IX alpha
ko04974	Protein digestion and absorption	K19479  	collagen type X alpha
ko04974	Protein digestion and absorption	K08132  	collagen type XII alpha
ko04974	Protein digestion and absorption	K16617  	collagen type XIII alpha
ko04974	Protein digestion and absorption	K08133  	collagen type XIV alpha
ko04974	Protein digestion and absorption	K08135  	collagen type XV alpha
ko04974	Protein digestion and absorption	K24339  	collagen type XVI alpha
ko04974	Protein digestion and absorption	K07603  	collagen type XVII alpha
ko04974	Protein digestion and absorption	K06823  	collagen type XVIII alpha
ko04974	Protein digestion and absorption	K24340  	collagen type XIX alpha
ko04974	Protein digestion and absorption	K24357  	collagen type XX alpha
ko04974	Protein digestion and absorption	K16629  	collagen type XXI alpha
ko04974	Protein digestion and absorption	K16630  	collagen type XXII alpha
ko04974	Protein digestion and absorption	K24355  	collagen type XXIII alpha
ko04974	Protein digestion and absorption	K24356  	collagen type XXV alpha
ko04974	Protein digestion and absorption	K24358  	collagen type XXVI alpha (EMI domain-containing protein 2)
ko04974	Protein digestion and absorption	K23619  	collagen type XXVIII alpha
ko04971	Gastric acid secretion	K04131  	muscarinic acetylcholine receptor M3
ko04971	Gastric acid secretion	K13768  	gastrin
ko04971	Gastric acid secretion	K04195  	cholecystokinin B receptor
ko04971	Gastric acid secretion	K04634  	guanine nucleotide-binding protein G(q) subunit alpha
ko04971	Gastric acid secretion	K05858  	"phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]"
ko04971	Gastric acid secretion	K02677  	classical protein kinase C alpha type [EC:2.7.11.13]
ko04971	Gastric acid secretion	K19662  	classical protein kinase C beta type [EC:2.7.11.13]
ko04971	Gastric acid secretion	K19663  	classical protein kinase C gamma type [EC:2.7.11.13]
ko04971	Gastric acid secretion	K08007  	ezrin
ko04971	Gastric acid secretion	K05692  	actin beta/gamma 1
ko04971	Gastric acid secretion	K04958  	"inositol 1,4,5-triphosphate receptor type 1"
ko04971	Gastric acid secretion	K04959  	"inositol 1,4,5-triphosphate receptor type 2"
ko04971	Gastric acid secretion	K04960  	"inositol 1,4,5-triphosphate receptor type 3"
ko04971	Gastric acid secretion	K02183  	calmodulin
ko04971	Gastric acid secretion	K04515  	calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]
ko04971	Gastric acid secretion	K00907  	myosin-light-chain kinase [EC:2.7.11.18]
ko04971	Gastric acid secretion	K04150  	histamine receptor H2
ko04971	Gastric acid secretion	K04632  	guanine nucleotide-binding protein G(s) subunit alpha
