"Mag","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.002","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_gallinarum"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.003","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_ingluviei"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.004","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Tidjanibacter","Tidjanibacter_inops_A"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.005","Bacteria","Firmicutes_A","Clostridia","Monoglobales_A","UBA1381","12844","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.006","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium_B","Lachnoclostridium_B_sp002160985"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.007","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-180","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.008","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.009","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.011","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-877","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.012","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.013","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.014","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium_B","Lachnoclostridium_B_sp002160985"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.015","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.018","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R_sp900539425"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.019","Bacteria","Firmicutes_A","Clostridia","Monoglobales","Monoglobaceae","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.020","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UBA1375","UBA1375_sp002305795"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.021","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter_sp900543555"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.022","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.023","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.024","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","CHKCI006","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.025","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","SFFH01","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.028","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.029","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.030","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.031","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Unidentified","Unidentified"
